"year","variable","value"
2000,"Success",69.0587897653874
2001,"Success",72.7913432719217
2002,"Success",75.7448486282217
2003,"Success",80.1385458171115
2004,"Success",82.5636099120979
2005,"Success",84.6205141323167
2006,"Success",84.4678389863185
2007,"Success",85.862353547893
2008,"Success",86.0196892356204
2009,"Success",86.3051996934778
2010,"Success",86.6402299178586
2011,"Success",86.563278195615
2000,"Died",3.67696702870149
2001,"Died",4.14417551802194
2002,"Died",4.39569571573284
2003,"Died",4.51921192907383
2004,"Died",4.36926413658127
2005,"Died",4.35384601902781
2006,"Died",4.16882035746983
2007,"Died",4.13675090943902
2008,"Died",3.98203988169357
2009,"Died",3.91615073024174
2010,"Died",3.88549616027564
2011,"Died",3.79176320443942
2000,"Failed",1.43724221278728
2001,"Failed",1.49145032901684
2002,"Failed",1.55793738892023
2003,"Failed",1.64967545455088
2004,"Failed",1.56445724332188
2005,"Failed",1.66250275936232
2006,"Failed",1.59625564293355
2007,"Failed",1.63220371434042
2008,"Failed",1.70126982289223
2009,"Failed",1.7034345642004
2010,"Failed",1.65341700172574
2011,"Failed",1.63580702905696
2000,"Defaulted",6.81938153780719
2001,"Defaulted",7.23671535325862
2002,"Defaulted",7.01878575024718
2003,"Defaulted",6.30235293415247
2004,"Defaulted",5.75450787918299
2005,"Defaulted",5.42466638318435
2006,"Defaulted",5.01592775463151
2007,"Defaulted",4.85561690537511
2008,"Defaulted",4.60289515533111
2009,"Defaulted",4.4458471277058
2010,"Defaulted",4.366907328444
2011,"Defaulted",4.40468023521049
2000,"Not evaluated",19.0076194553167
2001,"Not evaluated",14.3363155277809
2002,"Not evaluated",11.2827325168781
2003,"Not evaluated",7.39021386511132
2004,"Not evaluated",5.74816082881597
2005,"Not evaluated",3.93847070610882
2006,"Not evaluated",4.75115725864657
2007,"Not evaluated",3.51307492295245
2008,"Not evaluated",3.69410590446267
2009,"Not evaluated",3.6293678843742
2010,"Not evaluated",3.45394959169604
2011,"Not evaluated",3.60447133567811
